alcohol;sulphates;citric acid;volatile acidity;quality
11.6;0.63;0.49;0.44;9
12.0;1.13;0.53;0.27;9
9.2;0.84;0.44;0.21;9
11.7;0.71;0.02;0.735;9
11.1;0.89;0.45;0.33;9
12.5;0.52;0.49;0.27;9
12.8;0.55;0.32;0.36;9
13.3;0.79;0.5;0.41;9
11.3;0.9;0.3;0.28;9
11.7;0.85;0.41;0.3;9
11.6;0.66;0.4;0.34;9
9.9;0.66;0.49;0.28;9
11.1;0.58;0.37;0.21;9
11.7;0.84;0.34;0.3;9
11.9;0.76;0.45;0.12;9
11.8;0.74;0.35;0.28;9
12.5;0.77;0.39;0.31;9
12.5;0.72;0.08;0.52;9
11.8;0.66;0.64;0.51;9
11.2;0.81;0.43;0.37;9
12.0;0.66;0.49;0.35;9
11.2;0.74;0.63;0.33;9
11.9;0.76;0.45;0.12;9
10.9;0.81;0.41;0.39;9
11.7;0.82;0.53;0.4;9
12.0;0.7;0.4;0.35;9
12.1;0.64;0.49;0.3;9
12.2;0.79;0.48;0.41;9
10.8;1.05;0.42;0.24;9
11.6;0.76;0.57;0.53;9
12.3;0.51;0.68;0.3;9
12.0;1.13;0.53;0.27;9
11.8;0.83;0.71;0.54;9
10.8;0.77;0.74;0.3;9
12.4;1.01;0.36;0.29;9
12.3;0.51;0.68;0.3;9
12.5;0.77;0.39;0.31;9
10.0;0.65;0.32;0.48;9
11.8;0.49;0.45;0.41;9
10.0;0.73;0.66;0.615;9
12.3;0.56;0.03;0.84;9
12.0;0.85;0.73;0.44;9
11.5;0.57;0.39;0.3;9
11.4;0.55;0.39;0.34;9
10.1;0.69;0.1;0.64;9
11.0;0.58;0.01;0.55;9
10.2;0.72;0.52;0.26;9
11.1;0.72;0.57;0.36;9
10.5;0.77;0.32;0.4;9
11.6;0.76;0.02;0.58;9
12.5;0.71;0.39;0.25;9
13.0;0.6;0.76;0.37;9
11.2;0.68;0.4;0.31;9
9.2;0.84;0.44;0.21;9
11.5;0.71;0.39;0.66;9
10.2;0.62;0.12;0.6;9
12.8;0.7;0.4;0.28;9
11.5;0.71;0.39;0.66;9
12.8;0.76;0.32;0.33;9
10.8;0.92;0.55;0.32;9
11.5;0.74;0.66;0.53;9
12.3;0.89;0.02;0.815;9
12.8;0.63;0.0;0.66;9
12.6;0.77;0.41;0.41;9
11.6;0.8;0.44;0.32;9
10.6;0.86;0.09;0.52;9
11.0;0.9;0.47;0.24;9
11.4;0.68;0.75;0.29;9
11.0;0.82;0.39;0.36;9
12.0;0.86;0.36;0.31;9
10.6;0.65;0.34;0.37;9
11.9;0.76;0.45;0.12;9
9.9;0.76;0.54;0.41;9
11.2;0.68;0.76;0.685;9
11.0;0.9;0.47;0.24;9
10.8;0.69;0.1;0.635;9
12.0;0.85;0.73;0.44;9
11.9;0.58;0.41;0.38;9
12.0;0.99;0.58;0.44;9
11.3;0.73;0.32;0.37;9
